Country Name,Date,Closure of Schools,Closure of workplaces,Cancellation of Public Events,Restrictions on Gathering,Closure of Public Transport,Quarantine Requirements,Restrictions on Internal Movement ,Restrictions on International Travel
Argentina,20210308,1,0,1,0,0,0,0,1
Argentina,20210309,1,0,1,0,0,0,0,1
Argentina,20210316,1,0,1,1,0,0,0,1
Argentina,20210322,1,0,1,1,0,0,0,1
Argentina,20210323,1,0,1,0,0,0,0,1
Argentina,20210406,0,0,1,0,0,0,0,1
Argentina,20210504,0,0,1,1,0,0,0,1
Australia,20200101,0,0,0,0,0,0,0,0
Australia,20200125,0,0,0,0,0,0,0,0
Australia,20200201,0,0,0,0,0,0,0,1
Australia,20200203,0,0,0,0,0,0,0,1
Australia,20200207,0,0,0,0,0,0,0,1
Australia,20200223,0,0,0,0,0,0,0,1
Australia,20200229,0,0,0,0,0,0,0,1
Australia,20200302,0,0,0,0,0,0,0,1
Australia,20200303,0,0,0,0,0,0,0,1
Australia,20200305,0,0,0,0,0,0,0,1
Australia,20200308,0,0,0,0,0,0,0,1
Australia,20200311,0,0,0,0,0,0,0,1
Australia,20200312,0,0,0,0,0,0,0,1
Australia,20200313,0,0,0,0,0,0,0,1
Australia,20200316,0,0,1,1,0,0,0,1
Australia,20200317,0,0,1,1,0,0,0,1
Australia,20200318,0,0,1,1,0,0,0,1
Australia,20200319,0,0,1,1,0,0,0,1
Australia,20200320,0,0,1,1,0,0,0,1
Australia,20200321,0,0,1,1,0,0,0,1
Australia,20200322,0,0,1,1,0,0,0,1
Australia,20200323,0,0,1,1,0,0,0,1
Australia,20200324,0,0,1,1,0,1,0,1
Australia,20200325,0,0,1,1,0,1,0,1
Australia,20200326,0,0,1,1,0,1,0,1
Australia,20200327,0,0,1,1,0,1,0,1
Australia,20200329,0,0,1,1,0,1,0,1
Australia,20200330,0,0,1,1,0,1,0,1
Australia,20200331,0,0,1,1,0,1,0,1
Australia,20200401,0,0,1,1,0,1,0,1
Australia,20200402,0,0,1,1,0,0,0,1
Australia,20200403,0,0,1,1,0,0,0,1
Australia,20200405,0,0,1,1,0,0,0,1
Australia,20200407,0,0,1,1,0,0,0,1
Australia,20200415,0,0,1,1,0,0,0,1
Australia,20200418,0,0,1,1,0,0,0,1
Australia,20200427,0,0,1,1,0,0,0,1
Australia,20200513,0,0,1,1,0,0,0,1
Australia,20200515,0,1,1,1,0,1,0,1
Australia,20200516,0,1,1,0,0,1,0,1
Australia,20200518,0,1,1,0,0,1,0,1
Australia,20200525,0,1,1,0,0,0,0,1
Australia,20200527,0,1,1,0,0,0,0,1
Australia,20200529,0,1,1,0,0,0,0,1
Australia,20200601,0,1,1,1,0,0,0,1
Australia,20200602,0,1,1,1,0,0,0,1
Australia,20200609,1,1,1,1,0,0,0,1
Australia,20200612,1,1,0,0,0,0,0,1
Australia,20200614,1,1,0,0,0,0,0,1
Australia,20200616,1,1,0,0,0,0,0,1
Australia,20200619,1,1,0,0,0,0,0,1
Australia,20200623,0,1,0,0,0,0,0,1
Australia,20200625,0,1,0,0,0,0,0,1
Australia,20200629,0,1,0,0,0,0,0,1
Australia,20200701,0,0,0,0,0,0,0,1
Australia,20200707,0,0,0,0,0,0,0,1
Australia,20200708,0,0,0,0,0,0,0,1
Australia,20200709,0,0,0,0,0,0,0,1
Australia,20200712,0,0,0,0,0,0,0,1
Australia,20200713,0,0,0,0,0,0,0,1
Australia,20200714,0,0,0,0,0,0,0,1
Australia,20200716,0,0,0,0,0,0,0,1
Australia,20200719,0,0,0,0,0,0,0,1
Australia,20200730,0,0,0,0,0,0,0,1
Australia,20200801,0,0,0,0,0,0,0,1
Australia,20200802,0,0,0,0,0,0,0,1
Australia,20200803,0,0,0,0,0,0,0,1
Australia,20200806,0,0,0,0,0,0,0,1
Australia,20200813,0,0,0,0,0,0,0,1
Australia,20200817,0,0,0,0,0,0,0,1
Australia,20200826,0,0,0,0,0,0,0,1
Australia,20200828,0,0,0,0,0,0,0,1
Australia,20200901,0,0,0,0,0,0,0,1
Australia,20200907,0,0,0,0,0,0,0,1
Australia,20200928,0,0,0,0,0,0,0,1
Australia,20201001,0,0,0,0,0,0,0,1
Australia,20201006,0,0,0,0,0,0,0,1
Australia,20201009,0,0,0,0,0,0,0,1
Australia,20201014,0,0,0,0,0,0,0,1
Australia,20201016,0,0,0,0,0,0,0,1
Australia,20201018,0,0,0,0,0,0,0,1
Australia,20201019,0,0,0,0,0,0,0,1
Australia,20201020,0,0,0,0,0,0,0,1
Australia,20201028,0,0,0,0,0,0,0,1
